Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-65.8749,25.273,90.0,top
C2,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-11.7348,25.2984,90.0,top
D1,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,-83.7846,-21.5651,90.0,top
D2,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,-29.2696,-21.7015,90.0,top
D3,VIN1 LED,LED_D3.0mm_Clear,-128.5162,6.7725,-90.0,top
D4,VIN2 LED,LED_D3.0mm_Clear,15.2838,6.7725,-90.0,top
D5,5V LED,LED_D3.0mm_Clear,-4.1162,28.6857,180.0,top
F1,3544-2,FUSE_3544-2,-106.8946,-14.7351,90.0,top
F2,3544-2,FUSE_3544-2,-101.1496,-14.7501,90.0,top
F3,3544-2,FUSE_3544-2,-95.5496,-14.7501,90.0,top
F4,3544-2,FUSE_3544-2,-89.9496,-14.7501,90.0,top
F5,3544-2,FUSE_3544-2,-77.6046,-14.7451,90.0,top
F6,3544-2,FUSE_3544-2,-71.4446,-14.7451,90.0,top
F7,3544-2,FUSE_3544-2,-65.3246,-14.7451,90.0,top
F8,3544-2,FUSE_3544-2,-59.3241,-14.7451,90.0,top
F9,3544-2,FUSE_3544-2,-53.1146,-14.7451,90.0,top
F10,3544-2,FUSE_3544-2,-47.0546,-14.7451,90.0,top
F11,3544-2,FUSE_3544-2,-41.1746,-14.7451,90.0,top
F12,3544-2,FUSE_3544-2,-35.3561,-14.7451,90.0,top
F13,3544-2,FUSE_3544-2,-23.2696,-14.8101,90.0,top
F14,3544-2,FUSE_3544-2,-17.5641,-14.8101,90.0,top
F15,3544-2,FUSE_3544-2,-11.9761,-14.8101,90.0,top
F16,3544-2,FUSE_3544-2,-6.3881,-14.8101,90.0,top
J1,String1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-112.0172,13.0035,0.0,top
J2,String2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-112.0172,0.0035,0.0,top
J3,String3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-97.0172,13.0035,0.0,top
J4,String4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-97.0172,0.0035,0.0,top
J5,String5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-82.0172,13.0035,0.0,top
J6,String6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-81.902858,0.0035,0.0,top
J7,String7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-67.0172,13.0035,0.0,top
J8,String8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-67.0172,0.0035,0.0,top
J9,String9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-52.0172,13.0035,0.0,top
J10,String10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-52.0172,0.0035,0.0,top
J11,String11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-37.0172,13.0035,0.0,top
J12,String12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-37.0172,0.0035,0.0,top
J13,String13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-22.0172,13.0035,0.0,top
J14,String14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-22.0172,0.0035,0.0,top
J15,String15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-7.0172,13.0035,0.0,top
J16,String16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-7.0172,0.0035,0.0,top
J17,Power In Left,BARRIER_BLOCK_1ROW_2POS_P9.5MM,-109.8162,-7.8143,180.0,top
J18,Power In Right,BARRIER_BLOCK_1ROW_2POS_P9.5MM,-3.4162,-23.9143,0.0,top
J19,Expansion Header,IDC-Header_2x20_P2.54mm_Vertical,-79.9162,42.5457,90.0,top
R1,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,-128.5162,1.2115,-90.0,top
R2,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,15.2838,1.2115,-90.0,top
R3,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,0.3838,21.0857,90.0,top
RN1,33,R_Array_SIP8,-105.5557,20.7899,0.0,top
RN2,33,R_Array_SIP8,-84.2645,20.7899,0.0,top
RN3,33,R_Array_SIP8,-47.631,20.7899,0.0,top
RN4,33,R_Array_SIP8,-26.3046,20.7899,0.0,top
U1,SN74HCT245N,SN74HCT245N,-92.8046,23.9149,-90.0,top
U2,SN74HCT245N,SN74HCT245N,-38.5546,23.9149,-90.0,top
