Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-78.616200,25.985700,90.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.216200,25.985700,90.000000,top
"D3","VIN1 LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-128.516200,6.772500,270.000000,top
"D4","VIN2 LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.283800,6.772500,270.000000,top
"D5","5V LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.016200,26.785700,180.000000,top
"R1","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-128.516200,1.211500,270.000000,top
"R2","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.283800,1.211500,270.000000,top
"R3","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-4.816200,26.785700,180.000000,top
"U1","74HC245","SOIC-20W_7.5x12.8mm_P1.27mm",-87.016200,29.585700,180.000000,top
"U2","74HC245","SOIC-20W_7.5x12.8mm_P1.27mm",-27.816200,29.585700,180.000000,top
