Comment,Designator,Footprint,LCSC
CAP ALUM 220UF 20% 50V RADIAL,C1,CP_Radial_D10.0mm_P5.00mm,C2063
CAP ALUM 100UF 20% 16V RADIAL,C2,CP_Radial_D5.0mm_P2.00mm,C43348
CAP CER 0.1UF 50V X7R RADIAL,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,C281787
CAP CER 0.1UF 50V X7R RADIAL,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,C281787
CAP CER 0.1UF 50V X7R RADIAL,C5,C_Rect_L7.0mm_W2.0mm_P5.00mm,C281787
CAP CER 0.1UF 50V X7R RADIAL,C6,C_Rect_L7.0mm_W2.0mm_P5.00mm,C281787
CAP CER 0.1UF 50V X7R RADIAL,C7,C_Rect_L7.0mm_W2.0mm_P5.00mm,C281787
DIODE SCHOTTKY 100V 5A DO201AD,D1,D_DO-201AD_P12.70mm_Horizontal,C154717
DIODE SCHOTTKY 100V 5A DO201AD,D2,D_DO-201AD_P12.70mm_Horizontal,C154717
DIODE ZENER 5.1V 5W AXIAL,D3,D_5W_P10.16mm_Horizontal,
LED GREEN DIFFUSED T-1 T/H,D4,LED_D3.0mm_Clear,C2895476
LED GREEN DIFFUSED T-1 T/H,D5,LED_D3.0mm_Clear,C2895476
LED GREEN DIFFUSED T-1 T/H,D6,LED_D3.0mm_Clear,C2895476
FUSE BLOCK BLADE 500V 20A PCB,F1,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F2,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F3,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F4,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F5,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F6,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F7,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F8,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F9,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F10,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F11,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F12,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F13,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F14,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F15,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F16,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F17,FUSE_3544-2,C492610
FUSE BLOCK BLADE 500V 20A PCB,F18,FUSE_3544-2,C492610
TERM BLOCK HDR 3POS VERT 3.5MM,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
TERM BLOCK HDR 3POS VERT 3.5MM,J16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
"CONN BARRIER STRIP 2CIRC 0.374""",J17,BARRIER_BLOCK_1ROW_2POS_P9.5MM,C707421
"CONN BARRIER STRIP 2CIRC 0.374""",J18,BARRIER_BLOCK_1ROW_2POS_P9.5MM,C707421
CONN HEADER VERT 4POS 2.5MM,J19,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
CONN MOD JACK 8P8C VERT UNSHLD,J20,RJ45_Amphenol_54602-x08_Horizontal,C2938579
CONN MOD JACK 8P8C VERT UNSHLD,J21,RJ45_Amphenol_54602-x08_Horizontal,C2938579
TERM BLK 4POS SIDE ENTRY 5MM PCB,J22,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",C192769
CONN HEADER VERT 3POS 2.54MM,J23,PinHeader_1x03_P2.54mm_Vertical,C49257
CONN HEADER VERT 3POS 2.54MM,J28,PinHeader_1x03_P2.54mm_Vertical,C49257
CONN HEADER VERT 24POS 2.54MM,J24,OST_302-S241,C221083
CONN HEADER VERT 5POS 2.54MM,J25,PinHeader_1x05_P2.54mm_Vertical,C492404
CONN HDR 4POS 0.1 TIN PCB,J26,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C2718488
TERM BLK 2POS SIDE ENTRY 3.81MM PCB,J27,PHOENIX_MKDS1_2-3.81,C2826458
RES 120 OHM 1/4W 5% AXIAL,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C61288
RES 120 OHM 1/4W 5% AXIAL,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C61288
RES 120 OHM 1/4W 5% AXIAL,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C61288
RES 1K OHM 1/4W 5% AXIAL,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C66649
RES 1K OHM 1/4W 5% AXIAL,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C66649
RES 4.7K OHM 1/4W 5% AXIAL,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C433716
RES 4.7K OHM 1/4W 5% AXIAL,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C433716
RES 100 OHM 1/4W 5% AXIAL,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C61287
RES 100 OHM 1/4W 5% AXIAL,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C61287
RES 10K OHM 1/4W 1% AXIAL,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C410695
RES 10K OHM 1/4W 1% AXIAL,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C410695
RES 680 OHM 1/4W 1% AXIAL,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C58599
