Comment,Designator,Footprint,LCSC
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,
3544-2,F18,FUSE_3544-2,
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String9,J9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String10,J10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String11,J11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String12,J12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String13,J13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String14,J14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String15,J15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String16,J16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
3544-2,F1,FUSE_3544-2,
3544-2,F7,FUSE_3544-2,
3544-2,F14,FUSE_3544-2,
SB5100-T,D2,D_DO-201AD_P12.70mm_Horizontal,
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,
3544-2,F2,FUSE_3544-2,
3544-2,F6,FUSE_3544-2,
3544-2,F8,FUSE_3544-2,
3544-2,F9,FUSE_3544-2,
3544-2,F10,FUSE_3544-2,
3544-2,F16,FUSE_3544-2,
3544-2,F5,FUSE_3544-2,
3544-2,F3,FUSE_3544-2,
3544-2,F13,FUSE_3544-2,
33,RN1,R_Array_SIP8,
3544-2,F11,FUSE_3544-2,
33,RN3,R_Array_SIP8,
33,RN4,R_Array_SIP8,
33,RN2,R_Array_SIP8,
3544-2,F4,FUSE_3544-2,
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
SB5100-T,D1,D_DO-201AD_P12.70mm_Horizontal,
120,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
RTC Conn,J25,PinHeader_1x05_P2.54mm_Vertical,
3544-2,F15,FUSE_3544-2,
3544-2,F12,FUSE_3544-2,
OLED,J26,OLED-SSD1306-128X64-I2C-THT,
VIN1 LED,D5,LED_D3.0mm_Clear,
VIN2 LED,D6,LED_D3.0mm_Clear,
1K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
1K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
5V LED,D4,LED_D3.0mm_Clear,
3544-2,F17,FUSE_3544-2,
4.7K,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
0.1uF,C5,C_Rect_L7.0mm_W2.0mm_P5.00mm,
Zener 5.1V,D3,D_5W_P10.16mm_Horizontal,
PWR BTN,SW5,SW_PUSH_6mm,
SN74HCT245N,U4,SN74HCT245N,
0.1uF,C6,C_Rect_L7.0mm_W2.0mm_P5.00mm,
4.7K,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
24L256,U6,DIP-8_W7.62mm,
SN74HCT245N,U3,SN74HCT245N,
UA9638CP,U5,DIP-8_W7.62mm,
Down BTN,SW3,SW_PUSH_6mm,
DMX1 RJ45,J20,RJ45_Amphenol_54602-x08_Horizontal,
0.1uF,C7,C_Rect_L7.0mm_W2.0mm_P5.00mm,
Power In Left,J17,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
Power In Right,J18,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
RJ45,J21,RJ45_Amphenol_54602-x08_Horizontal,
120,RN5,R_Array_SIP8,
AM26C31,U7,DIP-16_W7.62mm,
Expansion Header,J24,OST_302-S241,
BEAGLEBONEBLACK,U1,BEAGLEBONEBLACK,
Up BTN,SW2,SW_PUSH_6mm,
Left BTN,SW1,SW_PUSH_6mm,
Right BTN,SW4,SW_PUSH_6mm,
VIN Voltage,J23,PinHeader_1x03_P2.54mm_Vertical,
Universe5V,U2,Universal_5V_Horizontal,
GPIO,J19,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Aux Pwr,J27,PHOENIX_MKDS1_2-3.81,
VIN Select,J28,PinHeader_1x03_P2.54mm_Vertical,
DMX2,J22,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",
10K,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
680,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
DMX_LOR_Select,SW6,SW_CuK_JS202011CQN_DPDT_Straight,
120,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
100uF,C2,CP_Radial_D5.0mm_P2.00mm,
220uF,C1,CP_Radial_D10.0mm_P5.00mm,
100,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
100,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
10K,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
680,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
