qty,Comment,Designator,Footprint,LCSC, Digi-Key_PN, MPN, LCSC
1,"100uF","C1","Capacitor_SMD:CP_Elec_6.3x5.4_Nichicon","","493-2105-1-ND","UWX1C101MCL1GB","C3345"
3,"0.1uF","C3,C4,C5","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","1276-1007-1-ND","CL21F104ZBCNNNC","C49678"
1,"5V LED","D1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","160-1423-1-ND","LTST-C171GKT","C2297"
1,"Output 1","J1","302-S241:OST_302-S241","","ED10525-ND","302-S241",""
1,"Output 2","J2","302-S241:OST_302-S241","","ED10525-ND","302-S241",""
1,"Output 3","J3","302-S241:OST_302-S241","","ED10525-ND","302-S241",""
1,"RTC Conn","J4","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","732-5318-ND","61300511121",""
1,"OLED Conn","J5","OLED-SSD1306-128X64-I2C:OLED-SSD1306-128X64-I2C-THT","","S7002-ND","PPTC041LFBN-RC",""
1,"DMX1","J7","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","","277-5737-ND","1843619",""
1,"DMX2","J8","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","","277-5737-ND","1843619",""
1,"Power Select","J9","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","732-5316-ND","61300311121",""
2,"SolderJumper_3_Open","JP2,JP1","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
1,"1K","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","311-1.00KCRCT-ND","RC0805FR-071KL","C17513"
2,"120","R3,R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","311-120ARCT-ND","RC0805JR-07120RL","C17437"
2,"4.7K","R4,R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","311-4.7KARCT-ND","RC0805JR-074K7L","C17673"
1,"PWR_BUTTON","SW1","Button_Switch_THT:SW_PUSH_6mm","","450-1650-ND","1825910-6",""
1,"Up BTN","SW2","Button_Switch_THT:SW_PUSH_6mm","","450-1650-ND","1825910-6",""
1,"Down/Test BTN","SW3","Button_Switch_THT:SW_PUSH_6mm","","450-1650-ND","1825910-6",""
1,"Left BTN","SW4","Button_Switch_THT:SW_PUSH_6mm","","450-1650-ND","1825910-6",""
1,"Right BTN","SW5","Button_Switch_THT:SW_PUSH_6mm","","450-1650-ND","1825910-6",""
2,"BEAGLEBONEBLACK","U1","beagleboneblack:BEAGLEBONEBLACK","","S2012EC-23-ND","",""
1,"UA9638CP","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","296-15058-1-ND","UA9638CDR","C435812"
1,"24LC256","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","24LC256T-I/SNCT-ND","24LC256T-I/SN","C6482"
