Comment,Designator,Footprint,LCSC
0.1uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
0.1uF,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
0.1uF,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
0.1uF,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
v4 Input,J6,OST_302-S241,C221083
VIN1 LED,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C2286
Expansion Header,J5,IDC-Header_2x20_P2.54mm_Vertical,C9138
CONN SOCKET 8POS 0.1 GOLD PCB,RN1,R_Array_SIP8,C2915256
CONN SOCKET 8POS 0.1 GOLD PCB,RN2,R_Array_SIP8,C2915256
CONN SOCKET 8POS 0.1 GOLD PCB,RN3,R_Array_SIP8,C2915256
CONN SOCKET 8POS 0.1 GOLD PCB,RN4,R_Array_SIP8,C2915256
CONN IC DIP SOCKET 16POS TIN,U1,DIP-16_W7.62mm,C146580
CONN IC DIP SOCKET 16POS TIN,U2,DIP-16_W7.62mm,C146580
CONN IC DIP SOCKET 16POS TIN,U3,DIP-16_W7.62mm,C146580
CONN IC DIP SOCKET 16POS TIN,U4,DIP-16_W7.62mm,C146580
RES 120 OHM 1/4W 5% AXIAL,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C61288
CONN MOD JACK 8P8C VERT UNSHLD,J1,RJ45_Amphenol_54602-x08_Horizontal,C708594
CONN MOD JACK 8P8C VERT UNSHLD,J2,RJ45_Amphenol_54602-x08_Horizontal,C708594
CONN MOD JACK 8P8C VERT UNSHLD,J3,RJ45_Amphenol_54602-x08_Horizontal,C708594
CONN MOD JACK 8P8C VERT UNSHLD,J4,RJ45_Amphenol_54602-x08_Horizontal,C708594
