Comment,Designator,Footprint,LCSC
AM26C31,U4,DIP-16_W7.62mm,
AM26C31,U3,DIP-16_W7.62mm,
AM26C31,U2,DIP-16_W7.62mm,
RJ45,J2,RJ45_Amphenol_54602-x08_Horizontal,
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,
AM26C31,U1,DIP-16_W7.62mm,
120,RN4,R_Array_SIP8,
120,RN3,R_Array_SIP8,
0.1uF,C1,C_Rect_L7.0mm_W2.0mm_P5.00mm,
120,RN1,R_Array_SIP8,
RJ45,J4,RJ45_Amphenol_54602-x08_Horizontal,
RJ45,J3,RJ45_Amphenol_54602-x08_Horizontal,
RJ45,J1,RJ45_Amphenol_54602-x08_Horizontal,
0.1uF,C2,C_Rect_L7.0mm_W2.0mm_P5.00mm,
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,
5V LED,D1,LED_D3.0mm_Clear,
120,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,RN2,R_Array_SIP8,
Expansion Header,J5,IDC-Header_2x20_P2.54mm_Vertical,
v4 Input,J6,OST_302-S241,
