Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,107.259,-87.2378,-90.0,top
C2,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,107.309,-111.9018,-90.0,top
C3,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,115.999,-105.5478,90.0,top
C4,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,118.779,-133.3518,0.0,top
D1,5V LED,LED_D3.0mm_Clear,108.735,-134.7818,0.0,top
J1,RJ45,RJ45_Amphenol_54602-x08_Horizontal,85.219,-91.6428,-90.0,top
J2,RJ45,RJ45_Amphenol_54602-x08_Horizontal,85.219,-116.5868,-90.0,top
J3,RJ45,RJ45_Amphenol_54602-x08_Horizontal,136.969,-100.2078,90.0,top
J4,RJ45,RJ45_Amphenol_54602-x08_Horizontal,136.969,-125.1518,90.0,top
J5,Expansion Header,IDC-Header_2x20_P2.54mm_Vertical,86.881,-79.1298,90.0,top
J6,v4 Input,OST_302-S241,111.001,-66.3178,90.0,top
R1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,97.075,-134.7318,0.0,top
RN1,120,R_Array_SIP8,93.189,-87.6878,-90.0,top
RN2,120,R_Array_SIP8,93.189,-112.3718,-90.0,top
RN3,120,R_Array_SIP8,129.839,-105.5478,90.0,top
RN4,120,R_Array_SIP8,129.839,-129.6318,90.0,top
U1,AM26C31,DIP-16_W7.62mm,97.009,-87.4178,0.0,top
U2,AM26C31,DIP-16_W7.62mm,97.009,-111.9118,0.0,top
U3,AM26C31,DIP-16_W7.62mm,126.379,-105.1678,180.0,top
U4,AM26C31,DIP-16_W7.62mm,126.379,-129.6618,180.0,top
