Comment,Designator,Footprint,LCSC
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
3544-2,F1,FUSE_3544-2,
3544-2,F7,FUSE_3544-2,
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,
3544-2,F2,FUSE_3544-2,
3544-2,F6,FUSE_3544-2,
3544-2,F8,FUSE_3544-2,
3544-2,F5,FUSE_3544-2,
3544-2,F3,FUSE_3544-2,
33,RN1,R_Array_SIP8,
3544-2,F4,FUSE_3544-2,
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
SB5100-T,D1,D_DO-201AD_P12.70mm_Horizontal,
1K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
5V LED,D3,LED_D3.0mm_Clear,
120,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
SN74HCT245N,U3,SN74HCT245N,
33,RN2,R_Array_SIP8,
Power In,TB1,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
VIN LED,D2,LED_D3.0mm_Clear,
AM26C31,U1,DIP-16_W7.62mm,
0.1uF,C2,C_Rect_L7.0mm_W2.0mm_P5.00mm,
0.1uF,C1,C_Rect_L7.0mm_W2.0mm_P5.00mm,
AM26C31,U2,DIP-16_W7.62mm,
120,RN3,R_Array_SIP8,
120,RN4,R_Array_SIP8,
RJ45,J11,RJ45_Amphenol_54602-x08_Horizontal,
RJ45,J10,RJ45_Amphenol_54602-x08_Horizontal,
Power In,J9,TerminalBlock_MetzConnect_Type701_RT11L02HGLU_1x02_P6.35mm_Horizontal,
Expansion Header,J12,IDC-Header_2x20_P2.54mm_Vertical,
v4 Input,J13,OST_302-S241,
