Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,125.226,-77.4428,-90.0,top
C2,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,98.351,-77.4428,-90.0,top
C3,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,93.201,-78.8678,180.0,top
D1,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,117.3326,-151.1686,90.0,top
D2,VIN LED,LED_D3.0mm_Clear,73.501,-91.7928,-90.0,top
D3,5V LED,LED_D3.0mm_Clear,73.517133,-76.181833,90.0,top
F1,3544-2,FUSE_3544-2,94.2226,-144.3386,90.0,top
F2,3544-2,FUSE_3544-2,99.9676,-144.3536,90.0,top
F3,3544-2,FUSE_3544-2,105.5676,-144.3536,90.0,top
F4,3544-2,FUSE_3544-2,111.1676,-144.3536,90.0,top
F5,3544-2,FUSE_3544-2,123.5126,-144.3486,90.0,top
F6,3544-2,FUSE_3544-2,129.6726,-144.3486,90.0,top
F7,3544-2,FUSE_3544-2,135.7926,-144.3486,90.0,top
F8,3544-2,FUSE_3544-2,141.7931,-144.3486,90.0,top
J1,String1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",89.1,-116.6,0.0,top
J2,String2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",89.1,-129.6,0.0,top
J3,String3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",104.1,-116.6,0.0,top
J4,String4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",104.1,-129.6,0.0,top
J5,String5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",119.1,-116.6,0.0,top
J6,String6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",119.214342,-129.6,0.0,top
J7,String7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",134.1,-116.6,0.0,top
J8,String8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",134.1,-129.6,0.0,top
J9,Power In,TerminalBlock_MetzConnect_Type701_RT11L02HGLU_1x02_P6.35mm_Horizontal,150.301,-131.5178,90.0,top
J10,RJ45,RJ45_Amphenol_54602-x08_Horizontal,106.158367,-92.942767,0.0,top
J11,RJ45,RJ45_Amphenol_54602-x08_Horizontal,131.689,-92.942767,0.0,top
J12,Expansion Header,IDC-Header_2x20_P2.54mm_Vertical,87.241,-69.5453,90.0,top
J13,v4 Input,OST_302-S241,112.051,-58.6428,90.0,top
R1,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,73.531,-98.8178,-90.0,top
R2,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,73.467133,-87.841833,90.0,top
RN1,33,R_Array_SIP8,95.5615,-109.3678,0.0,top
RN2,33,R_Array_SIP8,116.876,-109.3678,0.0,top
RN3,120,R_Array_SIP8,101.515867,-86.842767,0.0,top
RN4,120,R_Array_SIP8,128.390867,-86.842767,0.0,top
TB1,Power In,BARRIER_BLOCK_1ROW_2POS_P9.5MM,67.901,-115.9178,-90.0,top
U1,AM26C31,DIP-16_W7.62mm,101.290867,-83.917767,90.0,top
U2,AM26C31,DIP-16_W7.62mm,128.239,-83.917767,90.0,top
U3,SN74HCT245N,SN74HCT245N,93.185133,-105.567833,0.0,top
