Comment,Designator,Footprint,LCSC
Output Header,J7,IDC-Header_2x20_P2.54mm_Vertical,
Output Header,J8,IDC-Header_2x20_P2.54mm_Vertical,
220uF,C2,CP_Radial_D10.0mm_P5.00mm,
100uF,C3,CP_Radial_D5.0mm_P2.00mm,
Zener 5.1V,D1,D_5W_P10.16mm_Horizontal,
5V LED,D2,LED_D3.0mm,
OLED Conn,J2,PinSocket_1x04_P2.54mm_Vertical,
GPIO Header,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
RTC Conn,J4,PinHeader_1x05_P2.54mm_Vertical,
VIN_Voltage,J6,PinHeader_1x03_P2.54mm_Vertical,
OLED Select,SW1,SW_CuK_JS202011CQN_DPDT_Straight,
POCKETBEAGLE-SC-569,U2,BEAGLE_POCKETBEAGLE-SC-569,
500ma,F1,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,
0.1uF,C1,C_Rect_L7.0mm_W2.0mm_P5.00mm,
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,
USB,J1,USB_A_Molex_105057_Vertical,
4.7K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
4.7K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
0.1uF,C6,C_Rect_L7.0mm_W2.0mm_P5.00mm,
24LC256,U4,DIP-8_W7.62mm,
Down BTN,SW5,SW_PUSH_6mm,
Power In,J5,PHOENIX_MKDS1_2-3.81,
3544-2,F2,FUSE_3544-2,
120,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Enter BTN,SW4,SW_PUSH_6mm,
Serial Out,J9,PinHeader_1x04_P2.54mm_Vertical,
Universe5V,U1,Universal_5V_Horizontal,
