Comment,Designator,Footprint,LCSC
100uF,C1,CP_Elec_6.3x5.4_Nichicon,
5V LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
OLED Conn,J2,PinSocket_1x04_P2.54mm_Vertical,
GPIO Header,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
RTC Conn,J4,PinHeader_1x05_P2.54mm_Vertical,
OLED Select,SW1,SW_CuK_JS202011CQN_DPDT_Straight,
4.7K,R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
4.7K,R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
24LC256,U3,SOIC-8_3.9x4.9mm_P1.27mm,
Down BTN,SW3,SW_PUSH_6mm,
1K,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
Enter BTN,SW2,SW_PUSH_6mm,
DMX1,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
Output 2,J6,OST_302-S241,
Output 1,J5,OST_302-S241,
120,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
Power Select,J9,PinHeader_1x03_P2.54mm_Vertical,
UA9638CP,U2,SOIC-8_3.9x4.9mm_P1.27mm,
0.1uF,C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
DMX2,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
0.1uF,C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
150 OHM,FB1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
USB,J1,USB_A_Stewart_SS-52100-001_Horizontal,
TPS2051BDBVR,U4,SOT-753,
10K,R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
120,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10K,R7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
POCKETBEAGLE-SC-569,U1,BEAGLE_POCKETBEAGLE-SC-569,
TPD4S009DBVR,U5,SOT-23-6_Handsoldering,
