Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C3,C4,C5,C6",C_0805_2012Metric,C49678,4
100uF,C1,CP_Elec_6.3x5.4_Nichicon,C134723,1
10K,"R6,R7",R_0805_2012Metric,C17414,2
120,"R2,R3",R_0805_2012Metric,C17437,2
150 OHM,FB1,L_0805_2012Metric,C1015,1
1K,R1,R_0805_2012Metric,C17513,1
24LC256,U3,SOIC-8_3.9x4.9mm_P1.27mm,C6482,1
4.7K,"R4,R5",R_0805_2012Metric,C17673,2
5V LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
TPD4S009DBVR,U5,SOT-23-6_Handsoldering,C88032,1
TPS2051BDBVR,U4,SOT-753,C51386,1
UA9638CP,U2,SOIC-8_3.9x4.9mm_P1.27mm,C435812,1
OLED Conn,J2,PinSocket_1x04_P2.54mm_Vertical,,1
GPIO Header,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
RTC Conn,J4,PinHeader_1x05_P2.54mm_Vertical,,1
Down BTN,SW3,SW_PUSH_6mm,,1
Enter BTN,SW2,SW_PUSH_6mm,,1
DMX1,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",,1
Output 2,J6,OST_302-S241,,1
Output 1,J5,OST_302-S241,,1
Power Select,J9,PinHeader_1x03_P2.54mm_Vertical,,1
DMX2,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",,1
USB,J1,USB_A_Stewart_SS-52100-001_Horizontal,,1
POCKETBEAGLE-SC-569,U1,BEAGLE_POCKETBEAGLE-SC-569,,1
