Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Elec_6.3x5.4_Nichicon,92.71,-103.124,0.0,top
C3,0.1uF,C_0805_2012Metric,167.3186,-90.6108,90.0,top
C4,0.1uF,C_0805_2012Metric,143.6624,-116.8744,90.0,top
C5,0.1uF,C_0805_2012Metric,201.4728,-88.8238,90.0,top
C6,0.1uF,C_0805_2012Metric,229.816,-110.234,-90.0,top
D1,5V LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.2294,-118.364,180.0,top
FB1,150 OHM,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,232.816,-109.234,180.0,top
J1,USB,USB_A_Stewart_SS-52100-001_Horizontal,238.271,-105.734,90.0,top
J2,OLED Conn,PinSocket_1x04_P2.54mm_Vertical,215.5952,-108.712,90.0,top
J3,GPIO Header,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,135.5944,-118.55704,180.0,top
J4,RTC Conn,PinHeader_1x05_P2.54mm_Vertical,246.2784,-87.5919,180.0,top
J5,Output 1,OST_302-S241,116.84,-83.312,0.0,top
J6,Output 2,OST_302-S241,116.84,-98.044,0.0,top
J7,DMX1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",201.16788,-75.51928,0.0,top
J8,DMX2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",215.8186,-75.5396,0.0,top
J9,Power Select,PinHeader_1x03_P2.54mm_Vertical,93.218,-90.424,0.0,top
R1,1K,R_0805_2012Metric,112.5474,-118.364,180.0,top
R2,120,R_0805_2012Metric,199.6186,-81.407,0.0,top
R3,120,R_0805_2012Metric,214.0458,-81.407,0.0,top
R4,4.7K,R_0805_2012Metric,176.742,-88.9979,-90.0,top
R5,4.7K,R_0805_2012Metric,178.9391,-88.9979,-90.0,top
R6,10K,R_0805_2012Metric,149.516,-117.634,180.0,top
R7,10K,R_0805_2012Metric,149.516,-115.234,0.0,top
SW2,Enter BTN,SW_PUSH_6mm,208.3804,-116.3214,0.0,top
SW3,Down BTN,SW_PUSH_6mm,221.6011,-116.3341,0.0,top
U1,POCKETBEAGLE-SC-569,BEAGLE_POCKETBEAGLE-SC-569,167.4622,-94.0562,90.0,top
U2,UA9638CP,SOIC-8_3.9x4.9mm_P1.27mm,205.3336,-87.4014,0.0,top
U3,24LC256,SOIC-8_3.9x4.9mm_P1.27mm,171.1286,-92.0332,0.0,top
U4,TPS2051BDBVR,SOT-753,153.8432,-116.628,180.0,top
U5,TPD4S009DBVR,SOT-23-6_Handsoldering,231.716,-105.734,180.0,top
