Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,233.15,-97.3,180.0,top
C2,220uF,CP_Radial_D10.0mm_P5.00mm,232.65,-67.0,0.0,top
C3,100uF,CP_Radial_D5.0mm_P2.00mm,245.3,-86.625,0.0,top
C4,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,228.05,-104.9,180.0,top
C5,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,189.0,-82.5,-90.0,top
C6,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,207.95,-50.9,0.0,top
D1,Zener 5.1V,D_5W_P10.16mm_Horizontal,245.55,-92.5,-90.0,top
D2,5V LED,LED_D3.0mm,238.6,-85.85,0.0,top
F1,500ma,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,233.125,-101.95,180.0,top
F2,3544-2,FUSE_3544-2,246.05,-60.35,-90.0,top
J1,USB,USB_A_Molex_105057_Vertical,241.55,-99.825,90.0,top
J2,OLED Conn,PinSocket_1x04_P2.54mm_Vertical,205.9,-39.6,90.0,top
J3,GPIO Header,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,236.1,-107.775,0.0,top
J4,RTC Conn,PinHeader_1x05_P2.54mm_Vertical,189.1,-39.7,-90.0,top
J5,Power In,PHOENIX_MKDS1_2-3.81,245.999,-48.5902,90.0,top
J6,VIN_Voltage,PinHeader_1x03_P2.54mm_Vertical,233.125,-58.15,90.0,top
J7,Output Header,IDC-Header_2x20_P2.54mm_Vertical,178.8846,-117.1321,90.0,top
J9,DMX1 RJ45,RJ45_Amphenol_54602-x08_Horizontal,177.5,-55.0,-90.0,top
J10,DMX2 RJ45,RJ45_Amphenol_54602-x08_Horizontal,177.5,-85.0,-90.0,top
R1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,227.79,-85.85,0.0,top
R2,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,184.65,-63.0,90.0,top
R3,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,176.0,-69.75,180.0,top
R4,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,207.8,-64.6,0.0,top
R5,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,207.8,-67.65,0.0,top
SW1,OLED Select,SW_CuK_JS202011CQN_DPDT_Straight,219.56,-38.5,0.0,top
SW2,DMX_Renard_Select,SW_CuK_JS202011CQN_DPDT_Straight,169.05,-72.75,0.0,top
SW3,DMX_LOR_Select,SW_CuK_JS202011CQN_DPDT_Straight,175.6,-48.85,180.0,top
SW4,Enter BTN,SW_PUSH_6mm,230.1,-38.25,0.0,top
SW5,Down BTN,SW_PUSH_6mm,230.1,-47.35,0.0,top
U1,Universe5V,Universal_5V_Horizontal,246.6245,-75.485,-90.0,top
U2,POCKETBEAGLE-SC-569,BEAGLE_POCKETBEAGLE-SC-569,208.8147,-77.2127,180.0,top
U3,UA9638CP,DIP-8_W7.62mm,188.85,-78.3,180.0,top
U4,24LC256,DIP-8_W7.62mm,207.8,-53.8,0.0,top
