Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,230.65,-97.3,180.0,top
C2,220uF,CP_Radial_D10.0mm_P5.00mm,235.15,-67.0,0.0,top
C3,100uF,CP_Radial_D5.0mm_P2.00mm,246.3,-86.625,0.0,top
C4,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,225.55,-104.9,180.0,top
C5,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,186.7,-94.5,180.0,top
C6,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,210.4,-51.0,0.0,top
C8,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,167.4,-51.5,-90.0,top
D1,Zener 5.1V,D_5W_P10.16mm_Horizontal,245.55,-97.58,-90.0,top
D2,5V LED,LED_D3.0mm,239.87,-85.85,0.0,top
F1,500ma,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,230.575,-101.15,180.0,top
J1,USB,USB_A_Molex_105057_Vertical,239.11,-96.325,90.0,top
J2,OLED Conn,PinSocket_1x04_P2.54mm_Vertical,209.71,-39.6,90.0,top
J21,Diff Out,RJ45_Amphenol_54602-x08_Horizontal,175.07,-70.145,-90.0,top
J3,GPIO Header,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,239.85,-107.775,0.0,top
J4,RTC Conn,PinHeader_1x05_P2.54mm_Vertical,184.02,-39.7,-90.0,top
J5,Power In,PHOENIX_MKDS1_2-3.81,246.049459,-48.59076,90.0,top
J6,VIN_Voltage,PinHeader_1x03_P2.54mm_Vertical,235.665,-58.15,90.0,top
J7,Output Header,IDC-Header_2x12_P2.54mm_Vertical,209.21,-115.87,-90.0,top
J8,DMX2,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",169.4,-87.1,-90.0,top
J9,DMX1 RJ45,RJ45_Amphenol_54602-x08_Horizontal,174.895,-104.185,-90.0,top
R1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,231.6,-85.85,0.0,top
R2,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,183.9,-100.99,90.0,top
R3,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,177.5,-85.6,-90.0,top
R4,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,211.61,-64.6,0.0,top
R5,4.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,211.61,-67.65,0.0,top
RN1,120,R_Array_SIP8,179.23,-59.8,0.0,top
SW4,Enter BTN,SW_PUSH_6mm,233.35,-40.5,0.0,top
SW5,Down BTN,SW_PUSH_6mm,233.35,-49.6,0.0,top
U1,Universe5V,Universal_5V_Horizontal,237.8035,-78.025,-90.0,top
U2,POCKETBEAGLE-SC-569,BEAGLE_POCKETBEAGLE-SC-569,208.8147,-77.2127,180.0,top
U3,UA9638CP,DIP-8_W7.62mm,185.49,-86.39,180.0,top
U4,24LC256,DIP-8_W7.62mm,211.61,-57.61,0.0,top
U7,AM26C31,DIP-16_W7.62mm,179.29,-52.29,90.0,top
