Comment,Designator,Footprint,LCSC
100uF,C2,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String9,J9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String10,J10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String11,J11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String12,J12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String13,J13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String14,J14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String15,J15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String16,J16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
SN74HCT245N,U4,SN74HCT245N,
3544-2,F1,FUSE_3544-2,
3544-2,F7,FUSE_3544-2,
3544-2,F14,FUSE_3544-2,
SB5100-T,D2,D_DO-201AD_P12.70mm_Horizontal,
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,
3544-2,F2,FUSE_3544-2,
3544-2,F6,FUSE_3544-2,
3544-2,F8,FUSE_3544-2,
3544-2,F9,FUSE_3544-2,
3544-2,F10,FUSE_3544-2,
3544-2,F16,FUSE_3544-2,
3544-2,F5,FUSE_3544-2,
3544-2,F3,FUSE_3544-2,
3544-2,F13,FUSE_3544-2,
33,RN1,R_Array_SIP8,
3544-2,F11,FUSE_3544-2,
33,RN3,R_Array_SIP8,
33,RN4,R_Array_SIP8,
33,RN2,R_Array_SIP8,
3544-2,F4,FUSE_3544-2,
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
SB5100-T,D1,D_DO-201AD_P12.70mm_Horizontal,
USB,J19,USB_A_Molex_105057_Vertical,
120,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
RTC Conn,J25,PinHeader_1x05_P2.54mm_Vertical,
3544-2,F15,FUSE_3544-2,
3544-2,F12,FUSE_3544-2,
Expansion Header,J24,IDC-Header_2x20_P2.54mm_Vertical,
Universe5V,U2,Universal_5V_Horizontal,
SN74HCT245N,U3,SN74HCT245N,
500ma,F19,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,
DMX_Renard_Select,SW1,SW_CuK_JS202011CQN_DPDT_Straight,
0.1uF,C6,C_Rect_L7.0mm_W2.0mm_P5.00mm,
0.1uF,C7,C_Rect_L7.0mm_W2.0mm_P5.00mm,
POCKETBEAGLE-SC-569,U1,BEAGLE_POCKETBEAGLE-SC-569,
OLED Select,J26,PinSocket_1x04_P2.54mm_Vertical,
DMX2 RJ45,J21,RJ45_Amphenol_54602-x08_Horizontal,
VIN1 LED,D5,LED_D3.0mm_Clear,
VIN2 LED,D6,LED_D3.0mm_Clear,
1K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
1K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
VIN Voltage,J23,PinHeader_1x03_P2.54mm_Vertical,
5V LED,D4,LED_D3.0mm_Clear,
120,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
GPIO Header,J27,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
OLED Select,SW2,SW_CuK_JS202011CQN_DPDT_Straight,
3544-2,F17,FUSE_3544-2,
VIN Select,J29,PinHeader_1x03_P2.54mm_Vertical,
Aux Pwr,J28,PHOENIX_MKDS1%2f2-3.81,
220uF,C1,CP_Radial_D10.0mm_P5.00mm,
4.7K,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
4.7K,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
24L256,U6,DIP-8_W7.62mm,
0.1uF,C8,C_Rect_L7.0mm_W2.0mm_P5.00mm,
Enter BTN,SW4,SW_PUSH_6mm,
Down BTN,SW5,SW_PUSH_6mm,
0.1uF,C5,C_Rect_L7.0mm_W2.0mm_P5.00mm,
DMX2,J22,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",
UA9638CP,U5,DIP-8_W7.62mm,
DMX1 RJ45,J20,RJ45_Amphenol_54602-x08_Horizontal,
Zener 5.1V,D3,D_5W_P10.16mm_Horizontal,
Power In Right,J18,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
Power In Left,J17,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
DMX_LOR_Select,SW3,SW_CuK_JS202011CQN_DPDT_Straight,
3544-2,F18,FUSE_3544-2,
