Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Radial_D10.0mm_P5.00mm,1.0016,30.7359,180.0,top
C2,100uF,CP_Radial_D5.0mm_P2.00mm,-10.631088,36.4457,180.0,top
C3,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-65.8749,25.273,90.0,top
C4,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-11.7348,25.2984,90.0,top
C5,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-111.0162,24.3857,180.0,top
C6,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-10.3414,67.2849,-90.0,top
C7,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-13.6746,62.2949,90.0,top
C8,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-23.5662,51.9857,90.0,top
D1,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,-83.7846,-21.5651,90.0,top
D2,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,-29.2696,-21.7015,90.0,top
D3,Zener 5.1V,D_5W_P10.16mm_Horizontal,-12.8062,51.9957,-90.0,top
D4,5V LED,LED_D3.0mm_Clear,-48.9212,30.6057,0.0,top
D5,VIN1 LED,LED_D3.0mm_Clear,-121.397,6.8995,-90.0,top
D6,VIN2 LED,LED_D3.0mm_Clear,8.055,6.7725,-90.0,top
F1,3544-2,FUSE_3544-2,-106.8946,-14.7351,90.0,top
F2,3544-2,FUSE_3544-2,-101.1496,-14.7501,90.0,top
F3,3544-2,FUSE_3544-2,-95.5496,-14.7501,90.0,top
F4,3544-2,FUSE_3544-2,-89.9496,-14.7501,90.0,top
F5,3544-2,FUSE_3544-2,-77.6046,-14.7451,90.0,top
F6,3544-2,FUSE_3544-2,-71.4446,-14.7451,90.0,top
F7,3544-2,FUSE_3544-2,-65.3246,-14.7451,90.0,top
F8,3544-2,FUSE_3544-2,-59.3241,-14.7451,90.0,top
F9,3544-2,FUSE_3544-2,-53.1146,-14.7451,90.0,top
F10,3544-2,FUSE_3544-2,-47.0546,-14.7451,90.0,top
F11,3544-2,FUSE_3544-2,-41.1746,-14.7451,90.0,top
F12,3544-2,FUSE_3544-2,-35.3561,-14.7451,90.0,top
F13,3544-2,FUSE_3544-2,-23.2696,-14.8101,90.0,top
F14,3544-2,FUSE_3544-2,-17.5641,-14.8101,90.0,top
F15,3544-2,FUSE_3544-2,-11.9761,-14.8101,90.0,top
F16,3544-2,FUSE_3544-2,-6.3881,-14.8101,90.0,top
F17,3544-2,FUSE_3544-2,14.5588,0.3717,90.0,top
F18,3544-2,FUSE_3544-2,-128.0662,0.2149,90.0,top
F19,500ma,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,-8.0662,57.2857,180.0,top
J1,String1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-112.0172,13.0035,0.0,top
J2,String2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-112.0172,0.0035,0.0,top
J3,String3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-97.0172,13.0035,0.0,top
J4,String4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-97.0172,0.0035,0.0,top
J5,String5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-82.0172,13.0035,0.0,top
J6,String6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-81.902858,0.0035,0.0,top
J7,String7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-67.0172,13.0035,0.0,top
J8,String8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-67.0172,0.0035,0.0,top
J9,String9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-52.0172,13.0035,0.0,top
