Comment,Designator,Footprint,LCSC,Quantity
220uF,C1,CP_Radial_D10.0mm_P5.00mm,C88784,1
3544-2,"F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F2,F3,F4,F5,F6,F7,F8,F9",FUSE_3544-2,C492610,18
Down BTN,SW5,SW_PUSH_6mm,C428628,1
Enter BTN,SW4,SW_PUSH_6mm,C428628,1
Expansion Header,J24,IDC-Header_2x12_P2.54mm_Vertical,C9138,1
RTC Conn,J25,PinHeader_1x05_P2.54mm_Vertical,C358687,1
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String10,J10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String11,J11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String12,J12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String13,J13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String14,J14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String15,J15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String16,J16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
String9,J9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C8389,1
VIN Voltage,J23,PinHeader_1x03_P2.54mm_Vertical,C49257,1
100uF,C2,CP_Radial_D5.0mm_P2.00mm,,1
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
SN74HCT245N,U4,SN74HCT245N,,1
SB5100-T,D2,D_DO-201AD_P12.70mm_Horizontal,,1
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
33,RN1,R_Array_SIP8,,1
33,RN3,R_Array_SIP8,,1
33,RN4,R_Array_SIP8,,1
33,RN2,R_Array_SIP8,,1
SB5100-T,D1,D_DO-201AD_P12.70mm_Horizontal,,1
USB,J19,USB_A_Molex_105057_Vertical,,1
120,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
120,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
Universe5V,U2,Universal_5V_Horizontal,,1
SN74HCT245N,U3,SN74HCT245N,,1
500ma,F19,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,,1
DMX_Renard_Select,SW1,SW_CK_JS202011CQN_DPDT_Straight,,1
0.1uF,C6,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
0.1uF,C7,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
POCKETBEAGLE-SC-569,U1,BEAGLE_POCKETBEAGLE-SC-569,,1
OLED Select,J26,PinSocket_1x04_P2.54mm_Vertical,,1
DMX2 RJ45,J21,RJ45_Amphenol_54602-x08_Horizontal,,1
VIN1 LED,D5,LED_D3.0mm_Clear,,1
VIN2 LED,D6,LED_D3.0mm_Clear,,1
1K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
1K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
5V LED,D4,LED_D3.0mm_Clear,,1
120,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
GPIO Header,J27,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
VIN Select,J29,PinHeader_1x03_P2.54mm_Vertical,,1
Aux Pwr,J28,PHOENIX_MKDS1_2-3.81,,1
4.7K,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
4.7K,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
24L256,U6,DIP-8_W7.62mm,,1
0.1uF,C8,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
0.1uF,C5,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
DMX2,J22,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",,1
UA9638CP,U5,DIP-8_W7.62mm,,1
DMX1 RJ45,J20,RJ45_Amphenol_54602-x08_Horizontal,,1
Zener 5.1V,D3,D_5W_P10.16mm_Horizontal,,1
Power In Right,J18,BARRIER_BLOCK_1ROW_2POS_P9.5MM,,1
Power In Left,J17,BARRIER_BLOCK_1ROW_2POS_P9.5MM,,1
DMX_LOR_Select,SW3,SW_CK_JS202011CQN_DPDT_Straight,,1
