Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Radial_D10.0mm_P5.00mm,-1.4984,30.7359,180.0,top
C2,100uF,CP_Radial_D5.0mm_P2.00mm,-11.631088,36.4457,180.0,top
C3,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-65.8749,27.773,90.0,top
C4,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-11.7348,27.7984,90.0,top
C5,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-113.5162,24.3857,180.0,top
C6,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-10.3414,64.7849,-90.0,top
C7,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-13.6746,64.7949,90.0,top
C8,0.1uF,C_Rect_L7.0mm_W2.0mm_P5.00mm,-23.5662,54.4857,90.0,top
D1,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,-83.7846,-15.2151,90.0,top
D2,SB5100-T,D_DO-201AD_P12.70mm_Horizontal,-29.2696,-15.3515,90.0,top
D3,Zener 5.1V,D_5W_P10.16mm_Horizontal,-12.8062,46.9157,-90.0,top
D4,5V LED,LED_D3.0mm_Clear,-47.6512,30.6057,0.0,top
D5,VIN1 LED,LED_D3.0mm_Clear,-121.397,5.6295,-90.0,top
D6,VIN2 LED,LED_D3.0mm_Clear,8.055,5.5025,-90.0,top
F19,500ma,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,-10.6162,58.0857,180.0,top
J1,String1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-108.5172,13.0035,0.0,top
J10,String10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-48.5172,0.0035,0.0,top
J11,String11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-33.5172,13.0035,0.0,top
J12,String12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-33.5172,0.0035,0.0,top
J13,String13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-18.5172,13.0035,0.0,top
J14,String14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-18.5172,0.0035,0.0,top
J15,String15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-3.5172,13.0035,0.0,top
J16,String16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",-3.5172,0.0035,0.0,top
J17,Power In Left,BARRIER_BLOCK_1ROW_2POS_P9.5MM,-120.1968,-15.8139,0.0,top
