Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Radial_D10.0mm_P5.00mm,201.6788,-98.7358,180.0,top
C2,100uF,CP_Elec_6.3x5.4_Nichicon,188.8788,-96.0526,0.0,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.12104,-76.23908,90.0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.359,-65.28476,0.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.2692,-101.8252,-90.0,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.69936,-101.7998,-90.0,top
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.7328,-102.6126,180.0,top
C8,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.6788,-78.9776,-90.0,top
C9,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.6026,-72.17072,90.0,top
D1,VIN1 LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,80.4138,-126.133,-90.0,top
D2,VIN2 LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,206.3206,-126.2346,-90.0,top
D3,5V LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,212.7738,-84.7526,90.0,top
D4,Zener 10V,D_SOD-123,205.5788,-107.1526,180.0,top
D5,Zener 5.1V,D_SOD-123,187.1238,-87.1776,90.0,top
F1,3544-2,FUSE_3544-2,95.8788,-144.3526,90.0,top
F2,3544-2,FUSE_3544-2,102.185466,-144.3526,90.0,top
F3,3544-2,FUSE_3544-2,108.492132,-144.3536,90.0,top
F4,3544-2,FUSE_3544-2,114.798798,-144.3536,90.0,top
F5,3544-2,FUSE_3544-2,121.105464,-144.3486,90.0,top
F6,3544-2,FUSE_3544-2,127.41213,-144.3486,90.0,top
F7,3544-2,FUSE_3544-2,133.718796,-144.3486,90.0,top
F8,3544-2,FUSE_3544-2,140.025462,-144.3486,90.0,top
F9,3544-2,FUSE_3544-2,146.332128,-144.3486,90.0,top
F10,3544-2,FUSE_3544-2,152.638794,-144.3486,90.0,top
F11,3544-2,FUSE_3544-2,158.94546,-144.3486,90.0,top
F12,3544-2,FUSE_3544-2,165.252126,-144.3448,90.0,top
F13,3544-2,FUSE_3544-2,171.558792,-144.4136,90.0,top
F14,3544-2,FUSE_3544-2,177.865458,-144.4136,90.0,top
F15,3544-2,FUSE_3544-2,184.172124,-144.4136,90.0,top
F16,3544-2,FUSE_3544-2,190.4788,-144.4136,90.0,top
F17,3544-2,FUSE_3544-2,75.1788,-128.4526,90.0,top
F18,3544-2,FUSE_3544-2,211.426,-128.8526,90.0,top
FB1,150 OHM,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,193.3026,-72.17072,-90.0,top
J1,String1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",89.1,-116.6,0.0,top
J2,String2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",89.1,-129.6,0.0,top
J3,String3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",104.1,-116.6,0.0,top
J4,String4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",104.1,-129.6,0.0,top
J5,String5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",119.1,-116.6,0.0,top
J6,String6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",119.214342,-129.6,0.0,top
J7,String7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",134.1,-116.6,0.0,top
J8,String8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",134.1,-129.6,0.0,top
J9,String9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",149.1,-116.6,0.0,top
J10,String10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",149.1,-129.6,0.0,top
J11,String11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",164.1,-116.6,0.0,top
J12,String12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",164.1,-129.6,0.0,top
J13,String13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",179.1,-116.6,0.0,top
J14,String14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",179.1,-129.6,0.0,top
J15,String15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",194.1,-116.6,0.0,top
J16,String16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",194.1,-129.6,0.0,top
J17,Power In Left,BARRIER_BLOCK_1ROW_2POS_P9.5MM,72.1788,-152.8526,0.0,top
J18,Power In Right,BARRIER_BLOCK_1ROW_2POS_P9.5MM,193.1788,-152.8526,0.0,top
