"Source:","D:\PB_16\Pwr_Diff_Expansion\Pwr_Diff_Expansion.sch"
"Date:","4/19/2020 1:10:03 AM"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key_PN","Farnell","Field4","Field5","Field6","Field7","Field8","MPN"
"","","C1","0.1uF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","478-7336-1-ND","","","","","","","SR215C104KARTR1"
"","","D1","SB5100-T","Device:D_Schottky","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","~","SB5100DICT-ND","","","","","","","SB5100-T"
"","","D2","VIN LED","Device:LED","LED_THT:LED_D3.0mm_Clear","~","754-1217-ND","","","","","","","WP3A8GD"
"","","D3","5V LED","Device:LED","LED_THT:LED_D3.0mm_Clear","~","754-1217-ND","","","","","","","WP3A8GD"
"","","F1","3544-2","Pwr_Diff_Expansion-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F2","3544-2","Pwr_Diff_Expansion-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F3","3544-2","Pwr_Diff_Expansion-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F4","3544-2","Pwr_Diff_Expansion-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","J1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~","AE10392-ND","","","","","","","A-2014-2-4-R"
"","","J2","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~","AE10392-ND","","","","","","","A-2014-2-4-R"
"","","J3","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~","AE10392-ND","","","","","","","A-2014-2-4-R"
"","","J4","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~","AE10392-ND","","","","","","","A-2014-2-4-R"
"","","J10","Expansion Header","Connector_Generic:Conn_02x20_Odd_Even","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~","S9175-ND","","","","","","","SBH11-PBPC-D20-ST-BK"
"","","R1","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","CF14JT1K00CT-ND","","","","","","","CF14JT1K00"
"","","R2","120","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","CF14JT120RCT-ND","","","","","","","CF14JT120R"
"","","RN1","120","Device:R_Pack04_SIP","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","4608X-2-121LF-ND","","","","","","","4608X-102-121LF"
"","","TB1","Power In","Barrier_Blocks:BARRIER_BLOCK_1ROW_2POS","Barrier_Blocks:BARRIER_BLOCK_1ROW_2POS_P8.26MM","","A98472-ND","","","","","","","4DB-P108-02"
"","","U1","AM26C31","AM26C31:AM26C31","Package_DIP:DIP-16_W7.62mm","http://www.ti.com.cn/cn/lit/ds/symlink/am26c31.pdf","296-6785-5-ND","4975637","","","","","","AM26C31IN"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key_PN","Farnell","Field4","Field5","Field6","Field7","Field8","MPN"
"1","1","C1","0.1uF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","478-7336-1-ND","","","","","","","SR215C104KARTR1"
"2","1","D1","SB5100-T","Device:D_Schottky","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","~","SB5100DICT-ND","","","","","","","SB5100-T"
"3","1","D2","VIN LED","Device:LED","LED_THT:LED_D3.0mm_Clear","~","754-1217-ND","","","","","","","WP3A8GD"
"4","1","D3","5V LED","Device:LED","LED_THT:LED_D3.0mm_Clear","~","754-1217-ND","","","","","","","WP3A8GD"
"5","4","F1, F2, F3, F4","3544-2","Pwr_Diff_Expansion-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"6","4","J1, J2, J3, J4","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~","AE10392-ND","","","","","","","A-2014-2-4-R"
"7","1","J10","Expansion Header","Connector_Generic:Conn_02x20_Odd_Even","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~","S9175-ND","","","","","","","SBH11-PBPC-D20-ST-BK"
"8","1","R1","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","CF14JT1K00CT-ND","","","","","","","CF14JT1K00"
"9","1","R2","120","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","CF14JT120RCT-ND","","","","","","","CF14JT120R"
"10","1","RN1","120","Device:R_Pack04_SIP","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","4608X-2-121LF-ND","","","","","","","4608X-102-121LF"
"11","1","TB1","Power In","Barrier_Blocks:BARRIER_BLOCK_1ROW_2POS","Barrier_Blocks:BARRIER_BLOCK_1ROW_2POS_P8.26MM","","A98472-ND","","","","","","","4DB-P108-02"
"12","1","U1","AM26C31","AM26C31:AM26C31","Package_DIP:DIP-16_W7.62mm","http://www.ti.com.cn/cn/lit/ds/symlink/am26c31.pdf","296-6785-5-ND","4975637","","","","","","AM26C31IN"
