Comment,Designator,Footprint,LCSC
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,
Power In,J5,TerminalBlock_MetzConnect_Type701_RT11L02HGLU_1x02_P6.35mm_Horizontal,
74HC125,U1,DIP-14_W7.62mm_LongPads,
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
Power In,TB1,BARRIER_BLOCK_1ROW_2POS,
33,RN1,R_Array_SIP8,
3544-2,F2,FUSE_3544-2,
3544-2,F4,FUSE_3544-2,
3544-2,F1,FUSE_3544-2,
3544-2,F3,FUSE_3544-2,
10uF,C1,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,
VIN_Voltage,J6,PinHeader_1x03_P2.54mm_Vertical,
120,RN2,R_Array_SIP8,
L7805,U2,TO-220-3_Vertical,
10uF,C2,CP_Radial_D5.0mm_P2.00mm,
SB5100-T,D1,D_DO-201AD_P12.70mm_Horizontal,
1K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
5V LED,D3,LED_D3.0mm_Clear,
120,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
VIN LED,D2,LED_D3.0mm_Clear,
RJ45,J7,RJ45_Amphenol_54602-x08_Horizontal,
AM26C32IN,U3,DIP-16_W7.62mm_LongPads,
